product_id,product_name,product_brand,year,product_price,product_quantity
1,Apple iPhone 6,iPhone,2018-11,87.95,102
2,Playstation 4,Game Console,2018-07,165.99,17
3,Macbook,Desktop,2018-12,12.99,140
4,Apple iPhone 7,iPhone,2020-08,80.99,178
5,Google Nexus Player,Set Top Box,2023-04,11.95,144
6,Nvidia Shield Tablet K1,Tablet,2020-01,155.95,3
7,Apple iPhone 8 Plus,iPhone,2020-06,12.95,136
8,Samsung Galaxy S6,Android Mobile,2023-02,81,177
9,Apple TV 5th Gen 4K,Set Top Box,2022-08,19.99,62
10,Windows 7-based PC,Desktop,2018-10,83.99,79
11,Chromebook,Desktop,2021-03,173.99,176
12,Amazon 4K Fire TV,Set Top Box,2021-03,63,94
13,Apple iPhone XS Max,iPhone,2022-07,195,179
14,Amazon 4K Fire TV,Set Top Box,2022-08,119.95,176
15,HTC One X10,Android Mobile,2019-11,151.99,79
16,Amazon Kindle 4,E Reader,2020-09,154.99,221
17,Apple iPhone 6,iPhone,2021-12,45.95,150
18,Samsung Galaxy S9,Android Mobile,2021-08,118.99,150
19,LG G Pad 7.0,Tablet,2019-07,112.99,211
20,Google Nexus Player,Set Top Box,2021-01,131.95,132
21,Apple iPhone 6,iPhone,2020-09,198.95,165
22,Xbox One,Game Console,2023-06,29,89
23,Apple iPhone XS,iPhone,2018-09,67.99,114
24,Samsung Galaxy S7,Android Mobile,2020-09,84,107
25,Apple iPhone 8,iPhone,2021-05,119.99,147
26,Sony Xperia XZ,Android Mobile,2021-03,26.99,174
27,Samsung Galaxy Tab S3,Tablet,2023-07,52.95,135
28,Apple iPhone 6,iPhone,2018-06,83,164
29,Samsung Galaxy S7 Edge,Android Mobile,2023-11,27.99,186
30,Amazon Kindle Fire HDX 7,Tablet,2023-12,131.95,119
31,Windows 7-based PC,Desktop,2020-03,58,137
32,Apple iPhone XR,iPhone,2022-03,27,248
33,Chromebook,Desktop,2020-07,119,67
34,Sony Xperia XZ,Android Mobile,2019-06,135.99,5
35,Roku Ultra,Set Top Box,2018-11,12.99,246
36,Chromecast,Set Top Box,2020-12,116.99,106
37,Apple iPhone 7,iPhone,2022-10,147.95,178
38,Apple iPhone XS,iPhone,2020-05,91.95,130
39,Apple iPhone X,iPhone,2019-11,62,89
40,Apple iPhone XS,iPhone,2019-11,37.99,5
41,Roku Ultra,Set Top Box,2019-07,173.99,161
42,Sony Xperia Z5,Android Mobile,2021-01,43.95,142
43,Apple TV 5th Gen 4K,Set Top Box,2019-12,86,93
44,Chromebook,Desktop,2020-10,86,82
45,Apple iPhone 6,iPhone,2024-01,20,253
46,Nvidia Shield Tablet K1,Tablet,2024-03,94.99,37
47,LG G Pad 7.0,Tablet,2020-04,58.95,141
48,LG G Pad 7.0,Tablet,2019-08,155.99,238
49,LG G Pad 7.0,Tablet,2020-03,128.99,254
50,Chromecast,Set Top Box,2024-01,29,175
51,Apple iPhone 7 Plus,iPhone,2019-09,28.95,186
52,Google Pixel C,Tablet,2019-11,179.99,84
53,LG G Pad 7.0,Tablet,2023-04,121.95,23
54,Samsung Galaxy Tab A,Tablet,2020-03,160.95,92
55,Roku Ultra,Set Top Box,2020-12,74.95,214
56,Nintendo Wii U,Game Console,2020-12,146,45
57,Apple TV 5th Gen 4K,Set Top Box,2023-03,48.99,4
58,Windows 10-based PC,Desktop,2023-04,13,180
59,Macbook,Desktop,2020-06,121,107
60,Samsung Galaxy S7 Edge,Android Mobile,2021-03,106.99,221
61,Samsung Galaxy S7,Android Mobile,2022-10,87,18
62,Apple iPhone 7,iPhone,2020-06,45,82
